codigo_anonimo,escuela_profesional,semestre_actual,sgpa_previo,cgpa_actual,creditos_completados,asistencia_promedio_pct,estado_observado,desaprobo_alguna_asignatura,horas_estudio_diarias,horas_redes_diarias,horas_habilidades_diarias,edad,ingreso_familiar_mensual_soles,beca_subvencion_economica,anio_egreso_secundaria,planea_matricularse_prox_ciclo,probabilidad_matricula_pct,motivo_no_matricula,promedio_final_ciclo_actual
P0431,Ingeniería de Sistemas,9,17.24,17.53,100,100.0,No,No,5.0,4.0,2.0,21,2453,No,2018,Sí,40,,11.22
P0432,Ingeniería de Sistemas,2,12.69,15.67,11,75.0,No,Sí,1.0,4.0,1.0,20,2118,No,2020,Sí,38,,7.83
P0433,Ingeniería de Sistemas,2,13.87,15.23,11,90.0,No,Sí,2.0,5.0,1.0,20,3091,No,2020,Sí,41,,10.44
P0434,Ingeniería de Sistemas,2,17.24,16.25,11,80.0,No,Sí,1.0,5.0,0.0,20,2171,No,2020,Sí,49,,9.22
P0435,Ingeniería de Sistemas,10,18.9,14.15,140,90.0,No,No,2.0,1.0,2.0,24,3948,No,2016,Sí,60,,11.5
P0436,Ingeniería de Sistemas,10,8.73,13.82,140,45.0,No,Sí,4.0,7.0,2.0,25,3087,No,2019,Sí,32,,5.26
P0437,Ciencia de la Computación,2,18.67,18.17,11,85.0,No,No,1.0,4.0,1.0,20,2541,No,2021,No,54,Exceso de carga laboral,12.06
P0438,Ingeniería de Sistemas,2,19.25,20.0,12,100.0,No,No,0.0,4.0,1.0,20,1447,No,2020,No,35,Falta de motivación,12.59
P0439,Ingeniería de Software,6,12.25,19.2,89,100.0,No,No,3.0,2.0,1.0,20,7189,No,2021,Sí,78,,13.28
P0440,Ingeniería de Sistemas,2,18.87,17.51,13,48.557949973540744,No,No,3.0,2.0,2.0,20,2247,No,2020,Sí,46,,11.52
P0441,Ingeniería de Sistemas,7,17.57,18.34,76,97.0,No,Sí,1.0,3.0,0.0,21,3813,No,2018,Sí,66,,10.25
P0442,Ingeniería de Sistemas,3,10.71,14.94,26,60.0,No,Sí,2.0,2.0,1.0,21,3115,No,2021,Sí,33,,9.82
P0443,Ciencia de la Computación,6,10.85,18.09,98,100.0,No,Sí,1.0,4.0,2.0,24,4295,No,2021,Sí,77,,8.27
P0444,Ingeniería de Sistemas,8,12.64,18.9,143,100.0,No,Sí,2.0,1.0,4.0,22,5329,No,2020,Sí,70,,10.75
P0445,Ingeniería de Sistemas,9,15.42,16.41,123,90.0,No,No,6.0,6.0,5.0,23,2029,No,2018,No,51,Exceso de carga laboral,11.97
P0446,Ciencia de la Computación,10,16.98,16.95,125,86.0,No,No,1.0,6.0,2.0,22,10000,No,2018,Sí,88,,12.02
P0447,Ciencia de la Computación,2,17.25,17.35,12,90.0,No,Sí,3.0,5.0,0.0,21,1636,No,2020,Sí,19,,6.17
P0448,Ingeniería de Sistemas,2,17.0,17.43,11,100.0,No,No,5.0,2.0,5.0,20,1460,No,2020,Sí,33,,13.81
P0449,Ingeniería de Software,8,11.54,13.36,75,98.0,No,Sí,3.0,2.0,2.0,20,10000,No,2018,Sí,94,,5.87
P0450,Ingeniería de Sistemas,2,19.65,19.21,12,70.0,No,No,2.0,2.0,1.0,21,1503,No,2020,Sí,33,,14.17
P0451,Ingeniería de Sistemas,2,12.95,12.01,12,90.0,No,Sí,1.0,2.0,1.0,20,2909,No,2020,Sí,42,,4.85
P0452,Ciencia de la Computación,7,18.11,18.88,75,98.0,No,No,0.0,2.0,0.0,22,2833,No,2019,Sí,44,,11.2
P0453,Ingeniería de Sistemas,2,13.29,15.62,11,90.0,No,Sí,5.0,2.0,1.0,21,2285,No,2021,Sí,36,,9.16
P0454,Ingeniería de Software,5,11.68,15.84,54,99.0,No,Sí,2.0,4.0,2.0,22,1552,No,2020,No,26,Salud u otros,6.72
P0455,Ciencia de la Computación,8,10.5,16.91,132,100.0,No,Sí,3.0,5.0,2.0,24,3988,No,2018,Sí,74,,8.33
P0456,Ingeniería de Sistemas,7,19.78,18.43,86,95.0,No,No,4.0,1.0,3.0,21,616,No,2019,No,20,Falta de motivación,11.83
P0457,Ingeniería de Sistemas,9,13.13,19.6,129,100.0,No,Sí,2.0,2.0,4.0,20,3381,No,2020,Sí,66,,9.33
P0458,Ingeniería de Sistemas,4,13.62,16.27,36,80.0,No,Sí,2.0,2.0,6.0,22,1613,No,2018,Sí,29,,7.24
P0459,Ingeniería de Software,8,7.22,13.21,143,81.0,No,Sí,4.0,3.0,2.0,25,4942,No,2018,Sí,57,,3.48
P0460,Ciencia de la Computación,5,7.25,12.48,75,45.0,Sí,Sí,1.0,10.0,1.0,20,6820,No,2021,No,61,Bajo rendimiento,4.76
P0461,Ingeniería de Software,1,20.0,19.0,28,90.0,No,No,4.0,1.0,3.0,20,1662,No,2020,Sí,56,,14.72
P0462,Ingeniería de Sistemas,10,12.0,17.77,143,100.0,No,Sí,5.0,5.0,1.0,22,8074,No,2018,Sí,87,,10.54
P0463,Ingeniería de Software,4,19.23,19.1,35,90.0,No,No,7.0,3.0,1.0,19,3583,No,2020,Sí,66,,11.29
P0464,Ciencia de la Computación,6,14.29,20.0,83,53.0,No,Sí,1.0,3.0,1.0,21,5907,No,2021,Sí,77,,6.91
P0465,Ingeniería de Software,10,15.06,16.43,112,100.0,No,No,3.0,3.0,2.0,22,2848,No,2018,Sí,51,,11.4
P0466,Ingeniería de Sistemas,8,18.51,19.08,90,90.0,No,No,3.0,3.0,2.0,23,3460,No,2019,Sí,50,,13.71
P0467,Ingeniería de Software,2,17.05,15.46,11,90.0,No,No,5.0,2.0,1.0,20,3877,No,2021,Sí,68,,12.57
P0468,Ingeniería de Sistemas,8,14.93,17.31,120,95.0,No,No,5.0,2.0,1.0,22,4046,No,2018,Sí,61,,12.35
P0469,Ingeniería de Sistemas,4,18.83,20.0,34,90.0,No,No,3.0,2.0,2.0,24,2424,No,2017,Sí,52,,11.54
P0470,Ingeniería de Software,10,16.61,16.3,107,98.0,No,No,6.0,2.0,2.0,22,3355,No,2018,Sí,56,,13.23
P0471,Ingeniería de Sistemas,5,8.82,14.7,63,78.0,Sí,Sí,4.0,3.0,4.0,20,8276,No,2021,Sí,79,,7.57
P0472,Ingeniería de Software,9,16.22,14.87,120,95.0,No,Sí,3.0,4.0,1.0,22,2442,No,2017,Sí,43,,8.78
P0473,Ingeniería de Sistemas,8,8.17,14.21,104,89.0,Sí,Sí,3.0,7.0,1.0,23,4603,No,2019,Sí,43,,4.74
P0474,Ingeniería de Sistemas,2,14.16,16.52,11,95.0,No,Sí,1.0,2.0,1.0,20,2067,No,2020,Sí,49,,9.32
P0475,Ciencia de la Computación,4,13.72,16.78,36,98.0,No,Sí,2.0,2.0,2.0,22,1392,No,2020,Sí,23,,9.44
P0476,Ingeniería de Sistemas,3,19.2,18.8,23,98.0,No,Sí,8.0,2.0,2.0,20,1246,No,2020,No,23,Exceso de carga laboral,9.63
P0477,Ingeniería de Software,1,0.0,0.0,11,90.0,No,Sí,6.0,4.0,1.0,21,3794,No,2022,Sí,30,,1.54
P0478,Ingeniería de Sistemas,10,7.49,14.74,133,70.0,Sí,Sí,3.0,3.0,3.0,21,4905,No,2018,Sí,48,,6.31
P0479,Ingeniería de Software,6,10.54,15.7,63,70.0,No,Sí,5.0,7.0,3.0,22,2632,No,2020,Sí,39,,3.82
P0480,Ingeniería de Sistemas,2,17.07,16.5,12,90.0,No,Sí,3.0,2.0,4.0,22,959,No,2019,Sí,21,,10.72
P0481,Ingeniería de Sistemas,2,10.8,11.05,14,95.0,No,Sí,2.0,1.0,1.0,22,1335,No,2015,Sí,17,,7.22
P0482,Ingeniería de Software,9,17.99,18.11,89,90.0,No,No,4.0,6.0,1.0,23,2897,No,2017,Sí,63,,12.48
P0483,Ingeniería de Software,2,13.17,15.19,11,90.0,No,No,1.0,2.0,1.0,19,3847,No,2020,Sí,60,,11.88
P0484,Ingeniería de Software,9,13.28,19.8,125,55.0,No,Sí,2.0,3.0,1.0,20,2570,No,2020,Sí,35,,5.36
P0485,Ingeniería de Sistemas,9,16.2,15.19,122,100.0,No,Sí,2.0,2.0,5.0,22,1135,No,2017,No,23,Salud u otros,10.18
P0486,Ingeniería de Sistemas,8,12.5,18.52,98,100.0,No,Sí,3.0,3.0,2.0,20,5035,No,2021,Sí,69,,9.33
P0487,Ingeniería de Software,10,13.94,18.46,136,100.0,No,Sí,1.0,10.0,1.0,21,3695,No,2019,Sí,62,,8.85
P0488,Ingeniería de Sistemas,5,8.49,14.55,66,90.0,Sí,Sí,4.0,6.0,2.0,20,2719,No,2020,Sí,35,,6.61
P0489,Ciencia de la Computación,2,13.62,13.65,12,100.0,No,Sí,2.0,2.0,3.0,20,6091,No,2021,Sí,88,,10.15
P0490,Ingeniería de Sistemas,7,14.39,19.5,145,100.0,No,No,2.0,4.0,2.0,21,5053,No,2018,Sí,75,,11.04
P0491,Ingeniería de Software,10,12.99,17.33,104,70.0,No,Sí,4.0,1.0,2.0,26,910,No,2014,No,27,Problemas económicos,14.92000991919055
P0492,Ciencia de la Computación,8,12.64,12.36,90,90.0,No,Sí,8.0,2.0,5.0,26,1925,No,2018,Sí,48,,10.26
P0493,Ciencia de la Computación,8,16.72,16.0,90,0.0,No,No,6.0,2.0,1.0,22,2044,No,2019,Sí,35,,12.14
P0494,Ingeniería de Sistemas,5,8.63,7.08,14,100.0,No,Sí,2.0,1.0,3.0,23,2135,No,2020,Sí,32,,5.75
P0495,Ingeniería de Sistemas,7,14.25,15.41,120,90.0,No,Sí,2.0,1.0,2.0,23,2140,No,2017,No,43,Problemas económicos,8.79
P0496,Ciencia de la Computación,7,7.82,11.75,70,90.0,No,Sí,1.0,1.0,2.0,23,2124,No,2019,Sí,32,,3.82
P0497,Ciencia de la Computación,4,12.65,17.1,46,100.0,No,No,3.0,4.0,1.0,24,2631,No,2019,Sí,45,,13.33
P0498,Ciencia de la Computación,3,16.31,17.86,22,70.0,No,No,2.0,6.0,2.0,21,2473,No,2020,Sí,36,,12.12
P0499,Ingeniería de Sistemas,8,13.23,18.69,78,85.0,No,Sí,4.0,3.0,4.0,22,1884,No,2019,No,27,Bajo rendimiento,10.36
P0500,Ingeniería de Software,8,17.55,19.35,87,96.0,No,No,3.0,1.0,2.0,21,1303,No,2018,Sí,31,,11.67
P0501,Ingeniería de Sistemas,2,9.4,8.7,11,95.0,Sí,Sí,2.0,10.0,2.0,20,1839,No,2020,No,10,Exceso de carga laboral,7.01
P0502,Ingeniería de Sistemas,7,8.73,14.84,99,100.0,No,Sí,5.0,8.0,2.0,22,5578,No,2020,Sí,81,,8.08
P0503,Ciencia de la Computación,8,8.45,12.84,133,80.0,No,Sí,6.0,6.0,3.0,25,5068,No,2018,Sí,67,,6.28
P0504,Ingeniería de Sistemas,6,6.89,12.12,78,100.0,Sí,Sí,4.0,2.0,1.0,20,4153,No,2021,Sí,42,,9.39
P0505,Ciencia de la Computación,2,16.31,17.48,11,98.0,No,No,2.0,2.0,3.0,20,2176,No,2020,Sí,43,,11.46
P0506,Ingeniería de Software,9,12.53,12.65,90,90.0,No,Sí,8.0,2.0,5.0,26,1368,No,2018,Sí,23,,9.62
P0507,Ingeniería de Sistemas,9,16.44,16.67,117,91.0,No,Sí,3.0,1.0,6.0,24,1335,No,2018,Sí,28,,9.81
P0508,Ingeniería de Sistemas,9,15.48,12.54,96,80.0,No,Sí,4.0,3.0,1.0,21,5646,No,2018,Sí,82,,7.43
P0509,Ciencia de la Computación,8,7.47,12.72,136,54.45482752970044,No,Sí,3.0,2.0,1.0,23,2982,No,2019,No,45,Exceso de carga laboral,5.29
P0510,Ingeniería de Software,8,19.61,17.95,83,95.0,No,No,3.0,1.0,1.0,21,5439,No,2019,Sí,68,,12.26
P0511,Ciencia de la Computación,4,15.1,12.79,23,90.0,No,No,3.0,2.0,2.0,20,5965,No,2019,Sí,81,,11.68
P0512,Ciencia de la Computación,9,7.1,13.75,107,35.0,Sí,Sí,5.0,11.0,2.0,23,2670,No,2018,Sí,27,,3.07
P0513,Ciencia de la Computación,3,19.16,19.37,35,90.0,No,No,1.0,2.0,1.0,21,1970,No,2020,Sí,40,,14.71
P0514,Ingeniería de Sistemas,6,7.56,14.15,98,90.0,No,Sí,1.0,10.0,1.0,24,5584,No,2019,Sí,58,,8.73
P0515,Ingeniería de Sistemas,8,13.1,19.23,144,65.0,No,Sí,3.0,3.0,2.0,24,2448,No,2018,No,34,Exceso de carga laboral,10.06
P0516,Ingeniería de Software,3,20.0,19.6,25,100.0,No,No,8.0,1.0,4.0,21,2705,No,2019,Sí,43,,16.36
P0517,Ingeniería de Sistemas,2,18.41,18.18,11,95.0,No,No,3.0,1.0,2.0,22,1514,No,2020,Sí,41,,14.3
P0518,Ciencia de la Computación,4,12.44,15.92,24,100.0,No,Sí,1.0,1.0,1.0,20,2296,No,2020,Sí,44,,6.68
P0519,Ingeniería de Sistemas,8,18.46,16.12,125,95.0,No,No,4.0,4.0,1.0,23,2050,No,2018,Sí,37,,16.25
P0520,Ingeniería de Software,3,14.2,14.21,23,100.0,No,No,3.0,1.0,1.0,21,4076,No,2020,No,59,Falta de motivación,13.01
P0521,Ingeniería de Software,8,6.89,12.94,98,50.0,Sí,Sí,2.0,2.0,2.0,22,3115,No,2020,Sí,21,,6.69
P0522,Ingeniería de Sistemas,9,7.11,13.53,120,86.0,Sí,Sí,5.0,2.0,2.0,20,3653,No,2020,No,24,Salud u otros,6.2
P0523,Ciencia de la Computación,9,15.07,18.92,100,100.0,No,Sí,2.0,2.0,4.0,22,4309,No,2020,Sí,63,,10.92
P0524,Ingeniería de Sistemas,10,13.26,19.26,78,78.0,No,Sí,2.0,3.0,2.0,25,4258,No,2019,Sí,62,,7.06
P0525,Ingeniería de Sistemas,9,13.36,15.73,121,90.0,No,Sí,3.0,16.0,1.0,22,3189,No,2018,Sí,50,,13.140129135717258
P0526,Ingeniería de Sistemas,1,17.77,17.39,11,98.0,No,No,3.0,8.0,1.0,21,5904,No,2020,Sí,84,,16.84
P0527,Ingeniería de Sistemas,3,14.99,14.59,25,96.0,No,No,2.0,1.0,1.0,22,3045,No,2019,Sí,61,,12.75
P0528,Ingeniería de Sistemas,7,11.6,17.43,103,100.0,No,Sí,6.0,2.0,2.0,21,2213,No,2019,No,49,Falta de motivación,9.37
P0529,Ingeniería de Software,2,18.1,16.9,12,100.0,No,No,3.0,6.0,3.0,20,1273,No,2020,Sí,18,,6.213647770327622
P0530,Ingeniería de Software,2,19.62,19.44,11,99.0,No,No,5.0,2.0,1.0,20,911,No,2020,No,19,Problemas económicos,14.41
P0531,Ingeniería de Sistemas,10,6.51,13.66,136,83.0,No,Sí,1.0,3.0,2.0,24,7559,No,2019,Sí,87,,3.96
P0532,Ciencia de la Computación,3,12.41,18.78,32,100.0,No,Sí,1.0,5.0,3.0,19,6870,No,2022,Sí,81,,9.73
P0533,Ingeniería de Software,7,19.13,16.51,124,80.0,No,No,2.0,2.0,3.0,24,827,No,2018,Sí,22,,11.92
P0534,Ingeniería de Sistemas,1,15.99,17.02,11,95.0,No,Sí,5.0,2.0,2.0,21,3024,No,2020,Sí,63,,8.76
P0535,Ingeniería de Software,1,0.38,0.61,0,100.0,Sí,Sí,1.0,3.0,2.0,19,1384,No,2020,Sí,21,,4.1
P0536,Ingeniería de Sistemas,9,13.04,17.96,101,87.0,No,Sí,2.0,2.0,4.0,20,4383,No,2020,No,57,Bajo rendimiento,8.84
P0537,Ingeniería de Sistemas,10,18.72,14.14,140,90.0,No,No,2.0,1.0,2.0,24,3493,No,2016,Sí,43,,14.01
P0538,Ingeniería de Software,3,18.77,18.54,25,98.0,No,No,4.0,2.0,3.0,21,3346,No,2019,Sí,50,,15.16
P0539,Ingeniería de Software,9,13.6,20.0,132,100.0,No,Sí,4.0,5.0,1.0,21,3036,No,2019,Sí,50,,10.72
P0540,Ingeniería de Software,1,11.61,16.48,11,100.0,No,Sí,4.0,2.0,2.0,22,1181,No,2020,Sí,34,,8.54
P0541,Ingeniería de Sistemas,5,8.62,14.65,58,100.0,No,Sí,3.0,2.0,1.0,20,4284,No,2021,Sí,59,,10.01
P0542,Ingeniería de Software,10,15.57,19.8,134,100.0,No,No,1.0,2.0,2.0,20,3298,No,2020,Sí,61,,13.16
P0543,Ingeniería de Software,10,8.25,16.58,85,100.0,Sí,Sí,3.0,5.0,2.0,24,5223,No,2019,No,57,Exceso de carga laboral,5.9
P0544,Ingeniería de Software,3,16.87,16.64,27,37.0,No,Sí,3.0,4.0,1.0,22,1220,No,2020,Sí,28,,9.24
P0545,Ingeniería de Sistemas,2,13.73,16.53,11,90.0,No,No,4.0,6.0,2.0,20,2741,No,2020,Sí,42,,11.09
P0546,Ingeniería de Software,6,15.03,19.19,77,100.0,No,Sí,2.0,5.0,4.0,20,6467,No,2020,No,91,Exceso de carga laboral,10.91
P0547,Ingeniería de Software,2,18.46,18.12,11,100.0,No,No,4.0,2.0,2.0,20,2176,No,2020,Sí,34,,13.96
P0548,Ingeniería de Sistemas,8,19.35,19.02,84,90.0,No,No,4.0,1.0,2.0,22,3612,No,2019,Sí,58,,11.76
P0549,Ingeniería de Software,9,15.52,19.7,139,100.0,No,No,7.0,2.0,3.0,20,4223,No,2020,Sí,75,,12.36
P0550,Ciencia de la Computación,1,17.66,17.43,0,98.0,No,No,5.0,3.0,1.0,20,1126,No,2020,Sí,34,,14.3
P0551,Ingeniería de Software,8,8.37,14.76,88,34.0,No,Sí,2.0,2.0,3.0,20,4144,No,2020,No,32,Salud u otros,3.05
P0552,Ingeniería de Sistemas,7,11.38,15.25,107,100.0,No,No,3.0,7.0,3.0,22,10000,No,2020,Sí,100,,6.578788906556868
P0553,Ingeniería de Software,1,12.87,12.67,12,96.0,No,Sí,4.0,3.0,2.0,20,1341,No,2020,Sí,32,,9.37
P0554,Ingeniería de Software,1,0.0,0.0,0,100.0,Sí,Sí,2.0,5.0,1.0,21,2277,No,2019,No,9,Salud u otros,2.98
P0555,Ingeniería de Sistemas,10,12.51,17.83,135,55.0,No,Sí,2.0,3.0,4.0,22,6639,No,2020,Sí,91,,10.17
P0556,Ciencia de la Computación,3,15.67,16.49,25,100.0,No,Sí,2.0,1.0,1.0,20,1421,No,2020,No,33,Falta de motivación,10.52
P0557,Ingeniería de Sistemas,2,17.72,17.81,11,100.0,No,No,4.0,1.0,1.0,21,2563,No,2020,Sí,34,,12.84
P0558,Ingeniería de Software,7,12.3,12.63,65,80.0,No,Sí,2.0,1.0,1.0,20,2101,No,2019,Sí,27,,9.96
P0559,Ingeniería de Sistemas,4,12.17,14.22,36,97.0,No,Sí,5.0,2.0,2.0,21,3151,No,2020,Sí,53,,8.82
P0560,Ingeniería de Sistemas,9,8.12,15.06,95,50.0,Sí,Sí,3.0,8.0,1.0,22,10000,No,2019,Sí,88,,5.84
P0561,Ingeniería de Software,2,14.53,12.98,12,90.0,No,Sí,2.0,3.0,2.0,20,1398,No,2020,Sí,34,,9.46
P0562,Ingeniería de Sistemas,4,14.47,16.1,36,98.0,No,Sí,2.0,2.0,2.0,22,1323,No,2020,Sí,28,,6.93
P0563,Ingeniería de Software,9,14.39,19.96,129,100.0,No,No,5.0,3.0,3.0,20,2396,No,2020,Sí,36,,14.86
P0564,Ingeniería de Software,3,18.84,17.97,25,75.0,No,No,3.0,1.0,2.0,22,6108,No,2020,Sí,87,,12.15
P0565,Ciencia de la Computación,4,11.68,11.28,30,88.0,No,Sí,3.0,4.0,2.0,21,3942,No,2019,Sí,61,,5.87
P0566,Ingeniería de Software,8,17.48,18.21,100,99.0,No,Sí,5.0,4.0,1.0,22,1881,No,2017,No,21,Problemas económicos,10.79
P0567,Ingeniería de Sistemas,4,13.53,15.34,36,98.0,No,No,2.0,2.0,2.0,22,1217,No,2020,Sí,38,,11.1
P0568,Ingeniería de Sistemas,8,18.47,17.77,84,90.0,No,No,4.0,1.0,2.0,22,3695,No,2019,No,65,Bajo rendimiento,15.09
P0569,Ingeniería de Software,2,19.38,20.0,12,95.0,No,No,1.0,2.0,1.0,20,2153,No,2020,No,36,Exceso de carga laboral,15.41
P0570,Ingeniería de Software,8,13.98,15.66,88,90.0,No,Sí,2.0,1.0,1.0,23,2329,No,2018,Sí,37,,10.71
P0571,Ingeniería de Sistemas,2,19.04,19.59,11,90.0,No,No,4.0,3.0,1.0,20,1601,No,2020,Sí,36,,11.41
P0572,Ingeniería de Sistemas,6,9.02,12.71,88,100.0,No,Sí,1.0,2.0,4.0,21,7491,No,2021,Sí,98,,3.66
P0573,Ingeniería de Sistemas,10,12.88,19.71,135,100.0,No,Sí,2.0,1.0,1.0,21,3413,No,2020,Sí,47,,7.29
P0574,Ciencia de la Computación,6,12.77,18.68,78,54.0,No,Sí,1.0,2.0,4.0,20,5848,No,2021,Sí,85,,9.69
P0575,Ingeniería de Sistemas,4,11.13,15.95,36,88.0,No,Sí,1.0,2.0,1.0,20,3517,No,2020,No,60,Problemas económicos,8.03
P0576,Ciencia de la Computación,8,18.48,19.08,127,99.0,No,No,4.0,10.0,2.0,22,3716,No,2018,Sí,49,,12.35
P0577,Ingeniería de Software,9,17.65,16.33,126,90.0,No,No,1.0,1.0,1.0,22,5879,No,2018,No,68,Salud u otros,12.93
P0578,Ciencia de la Computación,2,18.91,18.66,11,85.0,No,No,3.0,3.0,2.0,19,3718,No,2020,Sí,56,,12.0
P0579,Ciencia de la Computación,10,17.55,16.05,105,80.0,No,No,5.0,3.0,2.0,21,5010,No,2018,Sí,74,,16.02
P0580,Ciencia de la Computación,4,12.21,15.63,36,95.0,No,Sí,4.0,3.0,2.0,20,600,No,2020,No,14,Bajo rendimiento,10.28
P0581,Ingeniería de Software,4,11.89,15.89,59,79.0,No,Sí,4.0,7.0,3.0,21,8194,No,2020,Sí,88,,7.79
P0582,Ciencia de la Computación,3,14.33,16.24,24,90.0,No,Sí,2.0,12.0,0.0,20,2968,No,2020,Sí,47,,7.67
P0583,Ingeniería de Software,2,12.64,12.76,11,46.3165577526882,No,Sí,3.0,5.0,2.0,20,2465,No,2020,Sí,31,,9.41
P0584,Ingeniería de Software,4,11.02,16.92,59,79.0,No,Sí,4.0,7.0,3.0,21,8124,No,2020,Sí,80,,8.15
P0585,Ingeniería de Software,4,16.64,17.23,35,90.0,No,Sí,3.0,2.0,2.0,22,1192,No,2019,Sí,38,,10.56
P0586,Ingeniería de Software,2,12.69,15.71,11,100.0,No,No,8.0,1.0,2.0,21,1703,No,2020,Sí,41,,13.88
P0587,Ingeniería de Sistemas,1,17.72,17.63,11,90.0,No,Sí,1.0,1.0,1.0,19,619,No,2020,Sí,36,,8.41
P0588,Ingeniería de Software,4,14.05,15.7,36,80.0,No,No,3.0,3.0,3.0,22,2030,No,2018,Sí,45,,12.74
P0589,Ingeniería de Software,10,5.99,12.88,136,100.0,Sí,Sí,5.0,3.0,4.0,25,10000,No,2018,Sí,78,,4.34
P0590,Ingeniería de Sistemas,10,14.98,13.59,90,80.0,No,Sí,3.0,1.0,0.0,24,2772,No,2016,Sí,45,,8.54
P0591,Ingeniería de Software,2,18.95,18.35,11,100.0,No,Sí,2.0,1.0,1.0,19,4319,No,2020,Sí,77,,9.75
P0592,Ingeniería de Sistemas,3,18.13,16.01,25,99.0,No,No,5.0,4.0,3.0,19,1600,No,2020,Sí,40,,13.49
P0593,Ingeniería de Sistemas,2,13.79,15.53,11,99.0,No,Sí,2.0,4.0,2.0,20,2396,No,2020,Sí,37,,8.86
P0594,Ingeniería de Sistemas,8,14.61,15.13,136,80.0,No,Sí,2.0,3.0,1.0,24,1937,No,2017,Sí,28,,7.26
P0595,Ingeniería de Software,8,12.91,14.06,65,98.0,No,No,4.0,2.0,2.0,22,1314,No,2018,Sí,33,,11.38
P0596,Ingeniería de Sistemas,9,13.88,18.34,144,76.0,No,Sí,1.0,2.0,2.0,20,4704,No,2020,No,74,Exceso de carga laboral,8.15
P0597,Ingeniería de Software,1,0.13,0.0,0,80.0,Sí,Sí,1.0,7.0,0.0,20,3762,No,2021,No,6,Exceso de carga laboral,0.35
P0598,Ingeniería de Software,9,14.42,15.89,105,80.0,No,Sí,4.0,2.0,2.0,22,10000,No,2018,Sí,92,,7.34
P0599,Ingeniería de Sistemas,1,0.39,0.0,0,80.0,Sí,Sí,1.0,7.0,0.0,20,3434,No,2021,Sí,17,,1.55
P0600,Ingeniería de Sistemas,1,1.25,0.0,0,100.0,Sí,Sí,7.0,2.0,2.0,19,4152,No,2020,Sí,33,,1.57
P0601,Ingeniería de Software,8,11.38,11.09,71,90.0,No,Sí,4.0,1.0,2.0,21,2080,No,2018,Sí,45,,10.9
P0602,Ingeniería de Software,8,14.06,17.12,88,90.0,No,Sí,2.0,1.0,1.0,21,1646,No,2019,Sí,30,,8.66
P0603,Ciencia de la Computación,4,8.96,14.1,43,80.0,Sí,Sí,1.0,7.0,1.0,21,3906,No,2021,Sí,32,,7.58
P0604,Ciencia de la Computación,4,13.65,14.47,36,97.0,No,Sí,5.0,2.0,2.0,21,3005,No,2020,No,51,Exceso de carga laboral,9.26
P0605,Ingeniería de Software,2,13.67,14.88,11,100.0,No,Sí,1.0,2.0,1.0,20,1986,No,2020,Sí,17,,4.87
P0606,Ingeniería de Software,8,8.79,13.2,143,67.0,No,Sí,5.0,3.0,4.0,25,5630,No,2018,Sí,74,,4.91
P0607,Ingeniería de Software,1,0.0,0.0,0,95.0,Sí,Sí,2.0,4.0,0.0,20,3140,No,2018,No,17,Falta de motivación,5.25
P0608,Ingeniería de Sistemas,3,11.81,14.25,23,77.0,No,Sí,3.0,4.0,3.0,19,4980,No,2020,Sí,76,,7.24
P0609,Ingeniería de Sistemas,8,18.28,17.47,83,95.0,No,No,3.0,1.0,1.0,21,5700,No,2019,Sí,76,,12.01
P0610,Ingeniería de Sistemas,9,13.33,18.13,106,100.0,No,Sí,2.0,3.0,2.0,20,3511,No,2020,Sí,64,,10.12
P0611,Ingeniería de Software,5,6.53,12.63,96,100.0,Sí,Sí,6.0,4.0,2.0,21,5840,No,2019,No,60,Salud u otros,6.83
P0612,Ingeniería de Sistemas,3,18.55,18.14,24,95.0,No,Sí,1.0,1.0,2.0,20,3043,No,2020,Sí,48,,10.52
P0613,Ingeniería de Software,4,10.42,14.72,35,90.0,Sí,Sí,4.0,2.0,2.0,22,2609,No,2020,Sí,12,,9.06
P0614,Ciencia de la Computación,7,6.79,13.03,105,30.0,Sí,Sí,6.0,4.0,1.0,22,3878,No,2020,Sí,7,,3.6
P0615,Ingeniería de Sistemas,5,11.39,12.61,40,90.0,No,Sí,6.0,4.0,5.0,23,2048,No,2020,No,37,Falta de motivación,7.33
P0616,Ingeniería de Sistemas,8,16.63,15.87,90,0.0,No,Sí,6.0,2.0,1.0,22,1853,No,2019,Sí,20,,6.38
P0617,Ingeniería de Sistemas,7,19.32,20.0,76,99.0,No,No,5.0,6.0,2.0,23,1053,No,2019,Sí,14,,12.74
P0618,Ciencia de la Computación,10,7.81,12.94,135,73.0,Sí,Sí,2.0,3.0,2.0,20,8516,No,2020,Sí,84,,4.28
P0619,Ciencia de la Computación,3,15.93,17.53,24,100.0,No,Sí,2.0,3.0,1.0,22,3099,No,2020,Sí,48,,10.33
P0620,Ingeniería de Sistemas,7,18.48,19.97,87,60.0,No,No,0.0,6.0,0.0,22,2174,No,2019,Sí,35,,13.6
P0621,Ciencia de la Computación,2,17.6,18.45,11,97.0,No,Sí,3.0,2.0,2.0,20,1982,No,2020,No,26,Salud u otros,10.12
P0622,Ingeniería de Software,8,17.16,18.62,71,80.0,No,Sí,1.0,5.0,2.0,20,2528,No,2019,Sí,45,,10.28
P0623,Ingeniería de Software,10,8.76,16.54,126,75.0,No,Sí,3.0,9.0,2.0,22,10000,No,2019,Sí,92,,6.19
